"","ANO","UO","QTDE_RECOMENDACOES","IMPLEMENTADAS","NÃO_IMPLEMENTADAS","CANCELADAS","EM_IMPLEMENTACAO","A_IMPLEMENTAR","PERCENTUAL_NAO_ENCAMINHADAS","PERCENTUAL_CANCELADAS","RECOMENDACOES_ATIVAS","PERCENTUAL_IMPLEMENTADAS","PERCENTUAL_NAO_IMPLEMENTADAS","RC1","RC2","RC3","RC1n","RC2n","RC3n","escore"
"51",2019,"SESP",33,16,13,2,2,0,0.514285714285714,0.0606060606060606,31,1.06451612903226,0.419354838709677,-0.0677605544133118,0.504680567868094,-0.236177527098333,0.136087444831742,0.471008226842075,0.0219908588032139,22.051033271101
"52",2018,"DESENVOLVE-MT",32,13,12,0,7,0,0.625,0,32,1,0.375,-0.0466616012264191,0.275236593454056,-0.242311267515879,0.139372767130489,0.401437442267381,0.0212258277518888,19.8981446938114
"53",2018,"GCOM",32,25,0,7,0,0,0.641025641025641,0.21875,25,1.28,0,-0.163952754609827,-0.363973871213483,-0.0589466471742263,0.121109337744067,0.207619436591505,0.0440959883270799,13.0854608736202
"54",2018,"CASA MILITAR",30,19,0,11,0,0,0.463414634146341,0.366666666666667,19,1.57894736842105,0,-0.271920507876341,-0.0946821747464085,-0.0186932453564282,0.104297656889094,0.289272636029452,0.0491165956915509,15.0949938724177
"55",2019,"SEGES",30,21,6,1,2,0,0.741935483870968,0.0333333333333333,29,1.03448275862069,0.206896551724138,-0.0995413805689263,-0.163571506963326,-0.188908828562908,0.131138845917058,0.268384378216636,0.0278864493684562,15.2613970876953
"56",2020,"SEFAZ",27,8,11,0,8,0,0.592592592592593,0,27,1,0.407407407407407,-0.159188510394682,0.392373630372788,-0.255266196979945,0.12185117918132,0.436955113114929,0.0196100235878608,20.2435917190925
"57",2020,"SINFRA",27,7,17,2,1,0,0.275862068965517,0.0740740740740741,25,1.08,0.68,-0.230964080571658,1.29418020107858,-0.312243971125691,0.110674990527839,0.710396116823317,0.0125034681274769,28.6103802396746
"58",2019,"INDEA",24,11,0,0,13,0,1,0,24,1,0,-0.168077051577073,-0.847941131968907,-0.157096794367687,0.120467142623147,0.0608734515413071,0.031854206773961,8.01808060327953
"59",2019,"PGE",23,10,2,1,10,0,0.833333333333333,0.0434782608695652,22,1.04545454545455,0.0909090909090909,-0.225166411049304,-0.455789586702638,-0.162032275498704,0.111577746830194,0.179779562482017,0.0312386286664075,11.5160027088935
"60",2019,"IPEM/MT",22,13,9,0,0,0,0.590909090909091,0,22,1,0.409090909090909,-0.270285329876042,0.41429628149648,-0.260345575174878,0.104552270788619,0.44360238307496,0.0189764979124944,19.6661890207086
"61",2019,"MTI",22,7,7,0,8,0,0.681818181818182,0,22,1,0.318181818181818,-0.255414064187592,0.13592352537418,-0.237996182846729,0.106867878598356,0.359195672909188,0.0217640268826432,17.0422152426312
"62",2019,"MTPREV",22,12,5,5,0,0,0.444444444444444,0.227272727272727,17,1.29411764705882,0.294117647058824,-0.366697485401898,0.437158587304985,-0.166871705595056,0.0895399144118055,0.45053457014305,0.0306350305285019,19.4131195123776
"63",2019,"UNEMAT",22,7,4,0,11,0,0.818181818181818,0,22,1,0.181818181818182,-0.233107165654917,-0.28163560880927,-0.204472094354506,0.110341290312962,0.232585607660531,0.0259453203378665,13.1062545755152
"64",2019,"SETASC",17,5,0,0,12,0,1,0,17,1,0,-0.29158359103038,-0.814481093766275,-0.166464598024513,0.101235914205661,0.0710190267981916,0.0306858070386724,7.45887305956264
"65",2019,"AGER",14,3,0,0,1,10,0.285714285714286,0,14,1,0,-0.321398876738621,-0.234049117977758,7.07549400796825,0.0965933699944322,0.247014530933672,0.933939422099977,28.5557692969596
"66",2020,"SESP",14,9,0,0,5,0,1,0,14,1,0,-0.344514965081797,-0.800141077393719,-0.170479371020296,0.0929939591695949,0.0753671304797135,0.0301850642949773,7.21921268368397
"67",2019,"FAPEMAT",13,1,10,0,2,0,0.230769230769231,0,13,1,0.769230769230769,-0.564809325510038,1.53586043356887,-0.35404302632374,0.0586918794316933,0.783677114650713,0.00729007907516412,28.5721909303122
"68",2019,"JUCEMAT",13,10,0,1,2,0,0.857142857142857,0.0769230769230769,12,1.08333333333333,0,-0.400438224587874,-0.592061000494648,-0.135903261810874,0.0842861370399146,0.138460067399069,0.0344975710817907,8.97379234302706
"69",2015,"MTSAUDE",12,8,3,0,1,0,0.75,0,12,1,0.25,-0.448437922100466,-0.0338094205281076,-0.23213052117545,0.0768120943623291,0.307730149594605,0.0224956218002012,13.9973150426201
"70",2019,"SEMA",11,4,1,0,6,0,0.909090909090909,0,11,1,0.0909090909090909,-0.423413362291459,-0.510929678253163,-0.195849058713117,0.0807086736678808,0.163060276475543,0.0270208288487053,9.49230530713968
"71",2021,"SES",11,0,8,0,0,3,0,0,11,1,0.727272727272727,-0.610184455138216,1.66513096860529,1.84340627295359,0.0516265087540341,0.822873840421533,0.28136704243197,34.2495447690042
"72",2020,"SETASC",11,11,0,0,0,0,1,0,11,1,0,-0.397446339133214,-0.785801061021163,-0.174494144016079,0.0847520041335292,0.0797152341612355,0.0296843215512822,6.97955230780531
"73",2019,"EMPAER",10,4,0,3,3,0,0.538461538461538,0.3,7,1.42857142857143,0,-0.536662090317781,-0.124789191175686,-0.0596572533986459,0.0630746911572835,0.280143746244758,0.0440073579335616,12.8357323727256
"74",2018,"SEMA",10,5,5,0,0,0,0.5,0,10,1,0.5,-0.563456636588929,0.729020862983204,-0.292787193699492,0.0589025068991522,0.539031500858033,0.0149302155729972,20.6641966228133
"75",2017,"MTPREV",9,3,6,0,0,0,0.333333333333333,0,9,1,0.666666666666667,-0.637953101621011,1.23481392572014,-0.332447396950064,0.0473026471535157,0.692395389785216,0.00998359492668471,25.0983396806809
"76",2019,"SECITEC",9,0,5,0,4,0,0.444444444444444,0,9,1,0.555555555555556,-0.603749904989869,0.899638096415761,-0.30656794068282,0.0526284338683996,0.590765153145833,0.0132114112814848,22.0519128545485
"77",2015,"SETPU",9,9,0,0,0,0,1,0,9,1,0,-0.432733921834159,-0.776241050106125,-0.177170659346601,0.0792573674428188,0.0826139699489167,0.0293504930554854,6.8197787238862
"78",2016,"SINFRA",9,8,1,0,0,0,0.888888888888889,0,9,1,0.111111111111111,-0.466937118465301,-0.441065220801748,-0.203050115613845,0.0739315807279349,0.1842442065883,0.0261226767006853,9.86620555001865
"79",2019,"SEAF",8,4,4,0,0,0,0.5,0,8,1,0.5,-0.609839976759668,0.735079500543941,-0.294469231398903,0.0516801475525307,0.54086856879425,0.0147204233447725,20.3932022601512
"80",2017,"SEDEC",7,4,3,0,0,0,0.571428571428571,0,7,1,0.428571428571429,-0.60945876937219,0.523138839536396,-0.278815525166968,0.0517395054324897,0.476605046044393,0.0166728325633785,18.3151765161268
